Open,High,Low,Close,Adj Close,Volume,Revenue,Cost-Of-Goods-Sold,Gross-Profit,Research-And-Development-Expenses,SG&A-Expenses,Other-Operating-Income-Or-Expenses,Operating-Expenses,Operating-Income,Total-Non-Operating-Income/Expense,Pre-Tax-Income,Income-Taxes,Income-After-Taxes,Other-Income,Income-From-Continuous-Operations,Income-From-Discontinued-Operations,Net-Income,EBITDA,EBIT,Basic-Shares-Outstanding,Shares-Outstanding,Basic-EPS,EPS---Earnings-Per-Share
243.25,244.770004,240.470001,242.720001,242.720001,2126500,1720900000,474800000,1246100000,413700000,753700000,0,1167400000,78700100,52300000,131000000,23200000,107800000,0,107800000,0,107800000,246200100,78700100,303900000,344700000,350000,310000
163.119995,166.25,160.309998,161.229996,161.229996,4229900,692580000,169230000,523350000,179065000,363741000,0,542806000,-19456000,24364000,4908000,4409000,499000,0,499000,0,491000,66449000,-19456000,236414000,240598000,0,0
57.389999,58.189999,57.389999,57.84,57.84,14078200,15203000000,5455000000,9748000000,1953000000,3269000000,0,5495000000,4253000000,218000000,4471000000,513000000,3958000000,0,3958000000,0,3958000000,0,4253000000,4071000000,4093000000,970000,970000
72.720001,76.260002,71.269997,74.269997,74.269997,5753700,279941000,73682000,206259000,81765000,163158000,0,246415000,-40156100,396000,-39760000,6971000,-46731000,0,-46731000,0,-46731000,-18505100,-40156000,95729800,95729800,-470000,-470000
15.16,15.365,14.83,15.18,15.18,45107800,533317000,106899000,426418000,99533000,316811000,0,416344000,10074000,19969000,30043000,2171000,27872000,0,27872000,0,28127000,18473000,10074000,2131224000,2278155000,10000,10000
